DATE,Open,High,Low,Close,ADJCLOSE,VOLUME
20120619,1344.829956,1363.459961,1344.829956,1357.979980,1357.979980,3815350000
20120620,1358.040039,1361.569946,1346.449951,1355.689941,1355.689941,3695700000
20120621,1355.430054,1358.270020,1324.410034,1325.510010,1325.510010,4094470000
20120622,1325.920044,1337.819946,1325.920044,1335.020020,1335.020020,5271490000
20120625,1334.900024,1334.900024,1309.270020,1313.719971,1313.719971,3501820000
20120626,1314.089966,1324.239990,1310.300049,1319.989990,1319.989990,3412940000
20120627,1320.709961,1334.400024,1320.709961,1331.849976,1331.849976,3286910000
20120628,1331.520020,1331.520020,1313.290039,1329.040039,1329.040039,3969370000
20120629,1330.119995,1362.170044,1330.119995,1362.160034,1362.160034,4590480000
20120702,1362.329956,1366.349976,1355.699951,1365.510010,1365.510010,3301650000
20120703,1365.750000,1374.810059,1363.530029,1374.020020,1374.020020,2116390000
20120705,1373.719971,1373.849976,1363.020020,1367.579956,1367.579956,3041520000
20120706,1367.089966,1367.089966,1348.030029,1354.680054,1354.680054,2745140000
20120709,1354.660034,1354.869995,1346.650024,1352.459961,1352.459961,2904860000
20120710,1352.959961,1361.540039,1336.270020,1341.469971,1341.469971,3470600000
20120711,1341.400024,1345.000000,1333.250000,1341.449951,1341.449951,3426290000
20120712,1341.290039,1341.290039,1325.410034,1334.760010,1334.760010,3654440000
20120713,1334.810059,1357.699951,1334.810059,1356.780029,1356.780029,3212930000
20120716,1356.500000,1357.260010,1348.510010,1353.640015,1353.640015,2862720000
20120717,1353.680054,1365.359985,1345.069946,1363.670044,1363.670044,3566680000
20120718,1363.579956,1375.260010,1358.959961,1372.780029,1372.780029,3642630000
20120719,1373.010010,1380.390015,1371.209961,1376.510010,1376.510010,4043360000
20120720,1376.510010,1376.510010,1362.189941,1362.660034,1362.660034,3925020000
20120723,1362.339966,1362.339966,1337.560059,1350.520020,1350.520020,3717180000
20120724,1350.520020,1351.530029,1329.239990,1338.310059,1338.310059,3891290000
20120725,1338.349976,1343.979980,1331.500000,1337.890015,1337.890015,3719170000
20120726,1338.170044,1363.130005,1338.170044,1360.020020,1360.020020,4429300000
20120727,1360.050049,1389.189941,1360.050049,1385.969971,1385.969971,4399010000
20120730,1385.939941,1391.739990,1381.369995,1385.300049,1385.300049,3212060000
20120731,1385.270020,1387.160034,1379.170044,1379.319946,1379.319946,3821570000
20120801,1379.319946,1385.030029,1373.349976,1375.319946,1375.319946,4440920000
20120802,1375.130005,1375.130005,1354.650024,1365.000000,1365.000000,4193740000
20120803,1365.449951,1394.160034,1365.449951,1390.989990,1390.989990,3751170000
20120806,1391.040039,1399.630005,1391.040039,1394.229980,1394.229980,3122050000
